#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1047	1047	1048	1048	1048	1048	1030	1030	23	29
1047	1047	1048	1048	1048	1048	1031	1031	23	29
1047	1047	1048	1048	1048	1048	1048	1048	23	24
1047	1047	1048	1048	1048	1048	1049	1049	23	24
1065	1047	1066	1048	1048	1048	1048	1048	23	18
1065	1047	1066	1048	1048	1048	1049	1049	23	18
1065	1047	1066	1048	1066	1066	1048	1048	23	12
1065	1047	1066	1048	1066	1066	1049	1049	23	12
1065	1065	1066	1066	1066	1066	1048	1048	23	4
1065	1065	1066	1066	1066	1066	1049	1049	23	4
1030	1012	1030	1012	1030	1030	1013	1013	24	57
1030	1012	1030	1012	1031	1031	1013	1013	24	57
1030	1030	1030	1030	1030	1030	1013	1013	24	52
1030	1030	1030	1030	1030	1030	1031	1031	24	46
1030	1030	1030	1030	1031	1031	1013	1013	24	52
1030	1030	1030	1030	1031	1031	1031	1031	24	46
1048	1030	1048	1030	1030	1030	1031	1031	24	41
1048	1030	1048	1030	1031	1031	1031	1031	24	41
1048	1030	1048	1030	1048	1048	1031	1031	24	35
1048	1030	1048	1030	1049	1049	1031	1031	24	35
1048	1048	1048	1048	1048	1048	1031	1031	24	29
1048	1048	1048	1048	1048	1048	1049	1049	24	24
1048	1048	1048	1048	1049	1049	1031	1031	24	29
1048	1048	1048	1048	1049	1049	1049	1049	24	24
1066	1048	1066	1048	1048	1048	1049	1049	24	18
1066	1048	1066	1048	1049	1049	1049	1049	24	18
1066	1048	1066	1048	1066	1066	1049	1049	24	12
1066	1048	1066	1048	1067	1067	1049	1049	24	12
1066	1066	1066	1066	1066	1066	1049	1049	24	4
1066	1066	1066	1066	1067	1067	1049	1049	24	4
1030	1012	1031	1013	1031	1031	1013	1013	25	57
1030	1012	1031	1013	1031	1031	1014	1014	25	57
1030	1030	1031	1031	1031	1031	1013	1013	25	52
1030	1030	1031	1031	1031	1031	1014	1014	25	52
1030	1030	1031	1031	1031	1031	1031	1031	25	46
1030	1030	1031	1031	1031	1031	1032	1032	25	46
1048	1030	1049	1031	1031	1031	1031	1031	25	41
1048	1030	1049	1031	1031	1031	1032	1032	25	41
